# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
4792,1653347372.8027773,15334400,0.09805905073881149,0.9299100637435913,-0.17248153686523438,0.8717367649078369

4793,1653347374.9032006,15337600,0.09805905073881149,0.9299100637435913,-0.1719788759946823,0.9367482662200928

4794,1653347374.9636173,15340800,0.09735148400068283,0.9490067958831787,-0.1719788759946823,0.9367482662200928

4795,1653347376.8177032,15344000,0.09735148400068283,0.9490067958831787,-0.17198608815670013,0.8085389733314514

4796,1653347377.2139385,15347200,0.09725910425186157,0.8799363970756531,-0.17198608815670013,0.8085389733314514

4797,1653347378.797041,15350400,0.09725910425186157,0.8799363970756531,-0.17120271921157837,0.8735522627830505

4798,1653347379.3221967,15353600,0.09628672897815704,0.9137643575668335,-0.17120271921157837,0.8735522627830505

4799,1653347380.5951974,15356800,0.09628672897815704,0.9137643575668335,-0.17118561267852783,0.8285777568817139

4800,1653347381.5731955,15360000,0.09681884944438934,0.8777711391448975,-0.17118561267852783,0.8285777568817139

4801,1653347382.3631973,15363200,0.09681884944438934,0.8777711391448975,-0.17148855328559875,0.8720904588699341

4802,1653347383.6351972,15366400,0.09664830565452576,0.9379504323005676,-0.17148855328559875,0.8720904588699341

4803,1653347384.3171968,15369600,0.09664830565452576,0.9379504323005676,-0.1704653948545456,0.9395363330841064

4804,1653347385.8269746,15372800,0.09586059302091599,1.035764455795288,-0.1704653948545456,0.9395363330841064

4805,1653347386.078741,15376000,0.09586059302091599,1.035764455795288,-0.17005035281181335,0.9228993058204651

4806,1653347387.8050368,15379200,0.09621310979127884,0.7017331123352051,-0.17005035281181335,0.9228993058204651

4807,1653347387.8927214,15382400,0.09621310979127884,0.7017331123352051,-0.17030592262744904,0.5342530012130737

4808,1653347389.5982742,15385600,0.09621310979127884,0.7017331123352051,-0.16965347528457642,0.7810733914375305

4809,1653347389.8412595,15388800,0.0956835001707077,0.8737539649009705,-0.16965347528457642,0.7810733914375305

4810,1653347391.4457319,15392000,0.0956835001707077,0.8737539649009705,-0.16936154663562775,0.891645610332489

4811,1653347392.1518095,15395200,0.09537409991025925,0.8888486623764038,-0.16936154663562775,0.891645610332489

4812,1653347393.4647465,15398400,0.09537409991025925,0.8888486623764038,-0.16918624937534332,0.8369708061218262

4813,1653347394.2204401,15401600,0.09532590955495834,0.8977298736572266,-0.16918624937534332,0.8369708061218262

4814,1653347395.24474,15404800,0.09532590955495834,0.8977298736572266,-0.1689150035381317,0.8573962450027466

4815,1653347396.4558668,15408000,0.09452498704195023,0.9197037220001221,-0.1689150035381317,0.8573962450027466

4816,1653347397.2356975,15411200,0.09452498704195023,0.9197037220001221,-0.1678062081336975,0.8799008131027222

4817,1653347398.5138798,15414400,0.0931733250617981,0.9298972487449646,-0.1678062081336975,0.8799008131027222

4818,1653347399.0306358,15417600,0.0931733250617981,0.9298972487449646,-0.16625294089317322,0.8408170342445374

4819,1653347400.5439382,15420800,0.09257940948009491,0.9459843635559082,-0.16625294089317322,0.8408170342445374

4820,1653347400.853176,15424000,0.09257940948009491,0.9459843635559082,-0.16542066633701324,0.8829574584960938

4821,1653347402.5812936,15427200,0.09257940948009491,0.9459843635559082,-0.16537627577781677,0.8904690742492676

4822,1653347402.6881025,15430400,0.09222875535488129,0.9265687465667725,-0.16537627577781677,0.8904690742492676

4823,1653347404.2715442,15433600,0.09222875535488129,0.9265687465667725,-0.16457843780517578,0.8880878686904907

4824,1653347404.596545,15436800,0.09152214229106903,0.937711775302887,-0.16457843780517578,0.8880878686904907

